网友昵称,搞笑内容
捉女妖的天师,"朋友小张和他的哥们小刘在一个地方上班，于是俩人就共用了一辆摩托车(小刘的)某天回来的路上小刘:看到前边的后八轮了么？它的轮子一晃一晃的.咱俩说不定还能捡到一个轮胎！小张:我看行，喝酒钱都有啦他俩开玩笑似的随口一说，突然，后八轮儿的轮子真的掉了！糟糕的是轮子冲着他俩就过来了小张因为在后边儿受的是皮外伤，摩托车的保险杠也毁了，小刘可就惨了腿给怼骨折了小刘的母亲在医院门口刚好碰到了她的老同学，老同学肯定得打招呼呀，小刘母亲:这倒霉孩子，骑个摩托车还能让后八轮儿的轮胎给砸到老同学:好吧，那
…"
秋风中的恶之花,跟老公闹别扭，相互撂下狠话，谁先跟对方说话，谁就是小狗。冷战从白天持续到晚上，虽然同睡一张床，但两人中间隔的缝儿能赛马。躺下片刻，二货老公便鼾声如雷，与周公相会去了。我却辗转反侧，刚想拿起手机跟闺蜜发消息，就听见二货老公呢喃了一句：贝贝，亲一个。我一听，心里大惊，想趁他熟睡 套他话，便顺着问：“贝贝是谁？”老公突然一个翻身抱住我，一脸坏笑：“贝贝，是我小时候养的一条狗。”
____執著的瘋子…,很多很多年以前，有一个词叫“网瘾”，是人们心目中洪水猛兽一样的东西，要被关起来强行治疗的。后来有了智能手机，大家更患上了网瘾，就没人再提治疗的事儿了。。。 ​​​
吃了两碗又盛,上次没采取措施，媳妇担心会怀孕，我安慰她说怀孕就生，没什么大不了的。昨天媳妇例假准时到来，她有些高兴又略带遗憾地说:没中奖哈！我:这要是花钱的，钱就白花了。媳妇没明白，我解释说:你看老母猪打圈（juan)子都得给公猪钱，，，媳妇呵呵一笑:花钱我找你吗？
最美不过姐,我们学校最近cmcc给撤了，换成校园网了，我们也快离校了，都没买网，也不看视频啥的了，背景完毕，我亲爱的舍友在回宿舍的路上有人推荐外卖软件，她一想反正要定外卖人家给开热点就下了，然后顺便下载了个电视剧。。。
哈和嗨,一天，有人在我家楼下喊我名字，我探出头一看，还是个美女，我便应了一声。美女好像没听到，美女再喊，我再大声应。大概有7—8回，最后美女说：“我在找我的小狗！”
花落彼岸～任逍遥,有一次忘记给我家里的狗子喂食了，狗食盆子空了快两天了，晚上我刚躺炕上准备睡觉，狗子居然从屋外把狗食盆叼了过来，然后把狗食盆子往炕上一甩，疯狂的叫唤，那意思应该就是“快给老子喂饭，老子饿疯啦
tonoon,本人小女子一枚，回家后，把内衣里的胸垫随便的丢在了桌上。老妈看见后就问我这是什么东西？我不屑的说：作为一个女人，居然连这都不知道！结果换来我妈一句：“作为一个女人还用这玩意？！”口气超鄙视！我瞬间觉得被我妈秒杀了!
说攻,隔壁加油站老板到我的4S店买车，看中了一辆XXXX，老板问:这车配置这么高，怎么会这么便宜？我说:都是邻居，我就跟你说实话吧这车油耗太高。老板一听乐了:咱不怕，有加油站。就这车了！交钱开车。一年不到，隔壁加油站改汽修厂了，老板还是他！
匿名用户,
吃了两碗又盛,吃完饭，感觉肚子又大了一圈。我来到穿衣镜前，温柔地抚摩自己的肚子，想象那里面有个小宝宝。媳妇过来了，也跟我一样抚摩着，甚至用耳朵在肚子上听了听，她突然惊叫道:他踢到我了！我懵逼地问:什么？媳妇:你的屎隔着肚子踢到我了。
A糖老虎,舅妈来家里做客，我打了个电话给男票说：“亲戚来了，你买点东西回家吧。”他屁颠屁颠回家一推门，二话不说从包里掏出一包姨妈巾开始撒娇：“我乖不乖，我乖不乖，快夸我！”我永远也忘不了舅妈看他那眼神！
家里有嫌妻,老公出车十几天回来，这都几天了，对我不理不睬不摸不碰，我幽幽的对他说，亲，你是不是把我给戒了？
A糖老虎,公司发福利，我手气还不错抽中了一台电动车，想想丈母娘家的电动车坏了，正好可以送过去，就打电话过去，想问问家里什么时候有人，这时候是小舅子接的电话，我就说有个东西要送过去，小舅子问我什么东西，重不重，我说还蛮重的，他思考了一下说：“是要把我姐送回来吗？”
专业^O^丰胸,大三的时候与同校的一MM聊天 她不停的向我抱怨着她的男朋友我淡然的随口说了一句 那你甩了他 跟我吧。MM不出声了第二天大清早 收到消息说我想了一夜 我同意了 ，，同意了，，我就随口说说的啊，，
禁言………,"运气来了挡也挡不住，就是有点儿小尴尬…………不割…………还有用…………那天商场搞活动，买电器抽大奖……礼品有好多，好几个奖品都特别诱人………刚好打算买空调，于是就买了一台，商家送了两次抽奖机会，抽奖的方式是大转盘，最低是十元优惠券，最高是价值五千块的液晶电视。老婆先抽奖，不错，抽了个价值二百多的电饭煲，我继续抽，额………有点小尴尬，还是那个电饭煲………跟老婆一商量，再买个冰箱吧，万一抽中大奖呢？可惜想法很丰满………
…"
