序号,剧名,导演,主演,简介
11,星际牛仔 Cowboy Bebop (1998),"<p><a class=""c_blue"" href=""http://people.mtime.com/900188/"" target=""_blank"">渡边信一郎</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/924427/"" target=""_blank"">山寺宏一</a>		 <a class=""c_blue"" href=""http://people.mtime.com/959604/"" target=""_blank"">石塚运升</a> </p>","<p class=""mt3"">2071 年，人类已经遍布整个太阳系。面对日益严重的犯罪活动，政府也无能为力，于是在电视上悬赏捉拿各种罪犯。这造就了一种新..</p>"
12,周六夜现场 Saturday Night Live (1975),"<p><a class=""c_blue"" href=""http://people.mtime.com/902294/"" target=""_blank"">里昂·艾查索</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/913854/"" target=""_blank"">弗莱德·阿米森</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1200845/"" target=""_blank"">比尔·哈德尔</a> </p>","<p class=""mt3"">这是一档以短小的讽刺话题、电视广告的模仿、一个现场嘉宾乐队和一个流行文化名人的嘉宾主持为特色的深夜喜剧类节目。</p>"
13,银魂’ 銀魂’ (2011),"<p><a class=""c_blue"" href=""http://people.mtime.com/1357671/"" target=""_blank"">高松信司</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/949423/"" target=""_blank"">杉田智和</a>		 <a class=""c_blue"" href=""http://people.mtime.com/949417/"" target=""_blank"">阪口大助</a> </p>",
14,"是，大臣 Yes, Minister (1980)","<p><a class=""c_blue"" href=""http://people.mtime.com/1198694/"" target=""_blank"">Stuart Allen</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1083901/"" target=""_blank"">Paul Eddington</a>		 <a class=""c_blue"" href=""http://people.mtime.com/950454/"" target=""_blank"">奈杰尔·霍桑</a> </p>","<p class=""mt3"">《是，大臣》（Yes Minister，后来续集名为Yes, Prime Minister）是一套于1980年代播出的英国电视处境喜剧。这套剧集走英式幽..</p>"
15,流言终结者 MythBusters (2003),"<p><a class=""c_blue"" href=""http://people.mtime.com/1552212/"" target=""_blank"">Alice Dallow</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1552217/"" target=""_blank"">Jamie Hyneman</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1537836/"" target=""_blank"">Adam Savage</a> </p>","<p class=""mt3"">每个人都想解开都市流言的真假之谜，而这正是《流言终结者》大受欢迎的原因。在每一集节目中，亚当和杰米都会运用科学实验、特..</p>"
16,我们这一家  (2002),,"<p><a class=""c_blue"" href=""http://people.mtime.com/1038315/"" target=""_blank"">柚木凉香</a> </p>",
17,生活大爆炸 The Big Bang Theory (2007),"<p><a class=""c_blue"" href=""http://people.mtime.com/908162/"" target=""_blank"">马克·森卓斯基</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/916978/"" target=""_blank"">吉姆·帕森斯</a>		 <a class=""c_blue"" href=""http://people.mtime.com/970341/"" target=""_blank"">卡蕾·库科</a> </p>","<p class=""mt3"">Leonard和Sheldon是一对合起来智商超过360的疯狂科学家宅男。直到有一天，隔壁搬来一位美貌性感的女孩Penny……</p>"
18,豪斯医生 House M.D. (2004),"<p><a class=""c_blue"" href=""http://people.mtime.com/899686/"" target=""_blank"">Deran Sarafian</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/914344/"" target=""_blank"">休·劳瑞</a>		 <a class=""c_blue"" href=""http://people.mtime.com/941319/"" target=""_blank"">罗伯特·肖恩·莱纳德</a> </p>","<p class=""mt3"">态度无礼，表情凶恶，跛足拄着一根藤棍，永远是牛仔裤运动鞋的便装打扮而不是整洁的白大褂，普林斯顿大学附属医院的格雷戈..</p>"
19,东京爱情故事 Tokyo Love Story (1991),"<p><a class=""c_blue"" href=""http://people.mtime.com/899606/"" target=""_blank"">永山耕三</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/938681/"" target=""_blank"">织田裕二</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1034735/"" target=""_blank"">铃木保奈美</a> </p>","<p class=""mt3"">抱着不安而由爱媛到东京的完治，在机场莉香以令人回复冲动的笑颜迎接完治，在二人工作同时，莉香亦开始爱上了完治，但完治心中..</p>"
20,同志亦凡人 Queer as Folk (2000),"<p><a class=""c_blue"" href=""http://people.mtime.com/909616/"" target=""_blank"">Michael DeCarlo</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/945278/"" target=""_blank"">葛尔·哈罗德</a>		 <a class=""c_blue"" href=""http://people.mtime.com/978643/"" target=""_blank"">兰迪·哈里森</a> </p>","<p class=""mt3"">《同志亦凡人》，美国Showtime有线收费电视网拍摄的一部电视连续剧。2000年首播，共5季，2005年播完，拥有极高的收视率。该片..</p>"
31,权力的游戏 Game of Thrones (2011),"<p><a class=""c_blue"" href=""http://people.mtime.com/902053/"" target=""_blank"">艾伦·泰勒</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1719883/"" target=""_blank"">基特·哈灵顿</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1789225/"" target=""_blank"">艾米莉亚·克拉克</a> </p>","<p class=""mt3"">故事发生在一块虚构的大陆——维斯特洛上，剧情主要讲述北境之王Stark家族的领主Eddard Star受国王邀请进入议会，成为国王的右..</p>"
32,邪恶力量 Supernatural (2005),"<p><a class=""c_blue"" href=""http://people.mtime.com/906171/"" target=""_blank"">罗伯特·辛格</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/967960/"" target=""_blank"">简森·阿克斯</a>		 <a class=""c_blue"" href=""http://people.mtime.com/912483/"" target=""_blank"">贾德·帕达里克</a> </p>","<p class=""mt3"">Sam是一名刚刚进入斯坦福大学的研究生，他与一直不和的哥哥Dean无意遇到了很多在北美民间传说和都市怪谈中都没听说过的幽灵和..</p>"
33,傲慢与偏见 Pride and Prejudice (1995),"<p><a class=""c_blue"" href=""http://people.mtime.com/898614/"" target=""_blank"">Simon Langton</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/913530/"" target=""_blank"">科林·费斯</a>		 <a class=""c_blue"" href=""http://people.mtime.com/977176/"" target=""_blank"">詹妮弗·艾莉</a> </p>","<p class=""mt3"">温柔的伊莉莎白是班尼家最有才气的五千金之一，却因第一印象对英俊多金的达西先生执有偏见。然而习惯将自己的情感包裹在傲慢外..</p>"
34,西游记 Pilgrimage to the West (1986),"<p><a class=""c_blue"" href=""http://people.mtime.com/1265828/"" target=""_blank"">杨洁</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1251839/"" target=""_blank"">六小龄童</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1265764/"" target=""_blank"">马德华</a> </p>","<p class=""mt3"">唐朝僧人唐僧带领徒弟孙悟空、猪八戒、沙和尚到西天取经，师徒四人一路遭遇九九八十一难，最后终于取得真经修成正果。</p>"
35,犯罪心理 Criminal Minds (2005),"<p><a class=""c_blue"" href=""http://people.mtime.com/1359328/"" target=""_blank"">Glenn Kershaw</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/913218/"" target=""_blank"">托马斯·吉布森</a>		 <a class=""c_blue"" href=""http://people.mtime.com/912949/"" target=""_blank"">谢默·摩尔</a> </p>","<p class=""mt3"">讲述FBI心理学特工一步步逼近罪犯心灵深处的犯罪剧集，环环相扣。</p>"
36,新世纪福音战士 Neon Genesis Evangelion (1995),"<p><a class=""c_blue"" href=""http://people.mtime.com/892801/"" target=""_blank"">庵野秀明</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/2106368/"" target=""_blank"">滕奎兴</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1009400/"" target=""_blank"">绪方惠美</a> </p>","<p class=""mt3"">公元2000年，南极发生了大爆炸，冰封的大陆在一瞬间融化，引起世界海洋水位上涨甚至海啸，淹没了地球上的很大一部分陆地，随后..</p>"
37,摩登家庭 Modern Family (2009),"<p><a class=""c_blue"" href=""http://people.mtime.com/910929/"" target=""_blank"">Michael Spiller</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/919260/"" target=""_blank"">泰·布利尔</a>		 <a class=""c_blue"" href=""http://people.mtime.com/962730/"" target=""_blank"">朱丽·鲍温</a> </p>","<p class=""mt3"">《摩登家庭》瞄准的是三对各有不同的美国家庭：一对普通父母与三个孩子、一对同性恋夫夫从越南领养了养女组成三口之家，一个60..</p>"
38,无法阻挡的highkick Trouble-free High Kick (2006),"<p><a class=""c_blue"" href=""http://people.mtime.com/1865682/"" target=""_blank"">金秉旭</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/931752/"" target=""_blank"">罗文熙</a>		 <a class=""c_blue"" href=""http://people.mtime.com/930024/"" target=""_blank"">郑俊河</a> </p>","<p class=""mt3"">顺载一家人为了庆祝俊儿过百天，决定照张全家福。不过，顺载这家人做什么事都不那么顺利！　　俊儿撒了一泼尿，顺载和文姬争着..</p>"
39,虫师 蟲師 (2005),"<p><a class=""c_blue"" href=""http://people.mtime.com/1296652/"" target=""_blank"">Hiroshi Nagahama</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1296654/"" target=""_blank"">Yûto Nakano</a>		 <a class=""c_blue"" href=""http://people.mtime.com/949396/"" target=""_blank"">上田祐司</a> </p>","<p class=""mt3"">另一个世界，住着一群与常见动植物孑然不同的生物。远古以来，人们敬畏地称它们为虫。当虫的世界和人的世界重合时，虫师银古便..</p>"
40,海绵宝宝 SpongeBob SquarePants (1999),"<p><a class=""c_blue"" href=""http://people.mtime.com/904375/"" target=""_blank"">Sherm Cohen</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/923631/"" target=""_blank"">克兰西·布朗</a>		 <a class=""c_blue"" href=""http://people.mtime.com/919384/"" target=""_blank"">弗兰克·维尔克</a> </p>","<p class=""mt3"">海绵宝宝是方块形的黄色海绵，住在比基尼海滩（裤头村，比奇堡）的一个菠萝（凤梨）里，他的宠物是一只会“猫￣猫￣”的海蜗牛..</p>"
21,犯罪现场调查 C.S.I. (2000),"<p><a class=""c_blue"" href=""http://people.mtime.com/909429/"" target=""_blank"">Kenneth Fink</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/916942/"" target=""_blank"">特德·丹森</a>		 <a class=""c_blue"" href=""http://people.mtime.com/978910/"" target=""_blank"">乔治·艾德斯</a> </p>","<p class=""mt3"">围绕在形同长辈的组长格里森周围的，是由几个侦探专家组成的拉斯维加斯犯罪现场调查小组，他们的主要日常任务是研究犯罪现场，..</p>"
22,哆啦A梦 Doraemon (1979),"<p><a class=""c_blue"" href=""http://people.mtime.com/1185013/"" target=""_blank"">楠叶宏三</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/1185015/"" target=""_blank"">青木和代</a>		 <a class=""c_blue"" href=""http://people.mtime.com/1185016/"" target=""_blank"">千千松幸子</a> </p>","<p class=""mt3"">故事是从一个小学4年级学生——大雄开始的。大雄并不是个非常优秀的学生，像不少小孩子一样，他在学校里成绩平平，也没有其他..</p>"
23,白色巨塔 The Ivory Tower (2003),"<p><a class=""c_blue"" href=""http://people.mtime.com/1098407/"" target=""_blank"">西谷弘</a></p>","<p><a class=""c_blue"" href=""http://people.mtime.com/924958/"" target=""_blank"">唐泽寿明</a>		 <a class=""c_blue"" href=""http://people.mtime.com/957452/"" target=""_blank"">江口洋介</a> </p>","<p class=""mt3"">阔别11年再度携手合作的唐泽寿明与江口洋介，在剧中分别诠释追求权势、野心勃勃的天才外科医－财前五郎，以及尊重生命、热心研..</p>"
