剧名,导演,主演,简介
犯罪现场调查 C.S.I. (2000),导演： Kenneth Fink,主演： 特德·丹森		 乔治·艾德斯 ,围绕在形同长辈的组长格里森周围的，是由几个侦探专家组成的拉斯维加斯犯罪现场调查小组，他们的主要日常任务是研究犯罪现场，..
哆啦A梦 Doraemon (1979),导演： 楠叶宏三,主演： 青木和代		 千千松幸子 ,故事是从一个小学4年级学生——大雄开始的。大雄并不是个非常优秀的学生，像不少小孩子一样，他在学校里成绩平平，也没有其他..
白色巨塔 The Ivory Tower (2003),导演： 西谷弘,主演： 唐泽寿明		 江口洋介 ,阔别11年再度携手合作的唐泽寿明与江口洋介，在剧中分别诠释追求权势、野心勃勃的天才外科医－财前五郎，以及尊重生命、热心研..
棒球英豪 Touch (1985),导演： 杉井仪三郎,主演： 秋元羊介		 千叶繁 ,《棒球英豪》是安达充最为著名、最为成功的作品之一，1981年36号～1986年50号连载于日本的《周刊少年SUNDAY》，1987年结束，单..
福尔摩斯探案全集 The Adventures of Sherlock Holmes (1984),导演： Alan Grint,主演： 杰瑞米·布雷特		 大卫·布克 ,天文学知识空白、文学知识空白、哲学知识空白、政治学不及格--这就是歇洛克·福尔摩斯。可是，这又有什么关系？对这位世界上最..
糊涂侦探 Get Smart (1965),导演： Norman Abbott,主演： 唐·亚当斯		 芭芭拉·费尔顿 ,《糊涂侦探》，是由喜剧大师梅尔.布鲁克斯编剧的电视剧集，在60年代仿效当时流行的007系列电影改编的间谍喜剧。
"是，首相 Yes, Prime Minister (1986)",导演： 西德尼·洛特比,主演： Paul Eddington		 奈杰尔·霍桑 ,在野党影子内阁成员吉姆在帮助本党大选获胜之后得到行政事务部部长的职务，从此开始面对以部秘书亨普利为首的公务员体系。
星际牛仔 Cowboy Bebop (1998),导演： 渡边信一郎,主演： 山寺宏一		 石塚运升 ,2071 年，人类已经遍布整个太阳系。面对日益严重的犯罪活动，政府也无能为力，于是在电视上悬赏捉拿各种罪犯。这造就了一种新..
周六夜现场 Saturday Night Live (1975),导演： 里昂·艾查索,主演： 弗莱德·阿米森		 比尔·哈德尔 ,这是一档以短小的讽刺话题、电视广告的模仿、一个现场嘉宾乐队和一个流行文化名人的嘉宾主持为特色的深夜喜剧类节目。
老友记 Friends (1994),导演： 凯文·布赖特,主演： 詹妮弗·安妮斯顿		 大卫·休默 ,故事主要描述了住在纽约的六个好朋友从相识到后来一起经历了9年的生活中发生的一系列的故事，朋友间的生活、友谊、麻烦、欢笑..
海贼王 One Piece (1999),导演： 宇田钢之助,主演： 田中真弓		 中井和哉 ,故事围绕着梦想和同伴的友谊两个主题展开。整个作品拥有自己庞大的世界观。
权力的游戏 Game of Thrones (2011),导演： 艾伦·泰勒,主演： 基特·哈灵顿		 艾米莉亚·克拉克 ,故事发生在一块虚构的大陆——维斯特洛上，剧情主要讲述北境之王Stark家族的领主Eddard Star受国王邀请进入议会，成为国王的右..
邪恶力量 Supernatural (2005),导演： 罗伯特·辛格,主演： 简森·阿克斯		 贾德·帕达里克 ,Sam是一名刚刚进入斯坦福大学的研究生，他与一直不和的哥哥Dean无意遇到了很多在北美民间传说和都市怪谈中都没听说过的幽灵和..
傲慢与偏见 Pride and Prejudice (1995),导演： Simon Langton,主演： 科林·费斯		 詹妮弗·艾莉 ,温柔的伊莉莎白是班尼家最有才气的五千金之一，却因第一印象对英俊多金的达西先生执有偏见。然而习惯将自己的情感包裹在傲慢外..
西游记 Pilgrimage to the West (1986),导演： 杨洁,主演： 六小龄童		 马德华 ,唐朝僧人唐僧带领徒弟孙悟空、猪八戒、沙和尚到西天取经，师徒四人一路遭遇九九八十一难，最后终于取得真经修成正果。
犯罪心理 Criminal Minds (2005),导演： Glenn Kershaw,主演： 托马斯·吉布森		 谢默·摩尔 ,讲述FBI心理学特工一步步逼近罪犯心灵深处的犯罪剧集，环环相扣。
新世纪福音战士 Neon Genesis Evangelion (1995),导演： 庵野秀明,主演： 滕奎兴		 绪方惠美 ,公元2000年，南极发生了大爆炸，冰封的大陆在一瞬间融化，引起世界海洋水位上涨甚至海啸，淹没了地球上的很大一部分陆地，随后..
摩登家庭 Modern Family (2009),导演： Michael Spiller,主演： 泰·布利尔		 朱丽·鲍温 ,《摩登家庭》瞄准的是三对各有不同的美国家庭：一对普通父母与三个孩子、一对同性恋夫夫从越南领养了养女组成三口之家，一个60..
无法阻挡的highkick Trouble-free High Kick (2006),导演： 金秉旭,主演： 罗文熙		 郑俊河 ,顺载一家人为了庆祝俊儿过百天，决定照张全家福。不过，顺载这家人做什么事都不那么顺利！　　俊儿撒了一泼尿，顺载和文姬争着..
虫师 蟲師 (2005),导演： Hiroshi Nagahama,主演： Yûto Nakano		 上田祐司 ,另一个世界，住着一群与常见动植物孑然不同的生物。远古以来，人们敬畏地称它们为虫。当虫的世界和人的世界重合时，虫师银古便..
海绵宝宝 SpongeBob SquarePants (1999),导演： Sherm Cohen,主演： 克兰西·布朗		 弗兰克·维尔克 ,海绵宝宝是方块形的黄色海绵，住在比基尼海滩（裤头村，比奇堡）的一个菠萝（凤梨）里，他的宠物是一只会“猫￣猫￣”的海蜗牛..
走向共和  (2003),导演： 张黎,主演： 吕中		 孙淳 ,本剧是中国影视作品第一次以史诗般的艺术笔角全景式地呈现了中华民族推翻帝制、走向共和这一波澜壮阔的艰难历程。
威尔与格蕾丝 Will and Grace (1998),导演： 詹姆斯·布罗斯,主演： 艾瑞克·麦柯马克		 黛博拉·梅辛 ,"《威尔与格蕾丝》""是备受欢迎的艾美奖获奖情景喜剧，其主要讲述了四个好朋友的生活：Will Truman，同性恋律师；Will的好朋友Gr.."
猎人 Hunter x Hunter (1999),导演： 古桥一浩,主演： 乡田穗积		 甲斐田幸 ,集冒险、勇敢、斗争、残暴、亲情、友情、爱情等多种元素于一身。它虚构了一个猎人的世界，在这个世界里，充斥着各色的狩猎者与..
夏目友人帐 叁 夏目友人帳 参 (2011),导演： 大森贵弘,主演： 神谷浩史		 井上和彦 ,夏目贵志从祖母夏目玲子的遗物中得到了那些契约书所做成的“友人帐”，他做出了一个重要的决定：将玲子夺过来的妖怪们的名字一..
母亲 Mother (2010),导演： 水田伸生,主演： 松雪泰子		 山本耕史 ,一边是冷静孤独的女教师，一边是遭受着家庭暴力的女孩，两个毫无血缘关系的人为了找寻新的生活，成为“母女”，踏上了位置的旅..
