address,company,detail,position
杭州,"
阿里
",本科以上 | 5年以上 | 全职,CBU技术部java开发专家开放平台
杭州,"
阿里
",本科以上 | 3年以上 | 全职,CBU数字营销部新型大客户营销专家
杭州,"
阿里
",本科以上 | 2年以上 | 全职,银泰商业杭州区杭州下沙店营业二部营运主管
上海,"
阿里
",本科以上 | 5年以上 | 全职,盒马标品采购专家上海
杭州,"
阿里
",本科以上 | 5年以上 | 全职,飞猪商家成长培训专家商家业务部
杭州,"
阿里
",本科以上 | 3年以上 | 全职,盒马Java技术专家技术研发安全生产
武汉,"
阿里
",本科以上 | 8年以上 | 全职 | 20.0-30.0万元,盒马高级仓储物流专家武汉
杭州,"
阿里
",本科以上 | 8年以上 | 全职,云智能基础产品事业部研发效能事业部云效技术产品Leader杭州
成都,"
阿里
",本科以上 | 全职 | 25.5-68.0万元,蚂蚁金服数据库高级工程师数据库专家
北京,"
阿里
",本科以上 | 5年以上 | 全职 | 20.0-30.0万元,UC事业部高级产品运营专家UC内容生态平台运营
杭州,"
阿里
",3年以上 | 全职 | 30-48万,产品专家
上海,"
阿里
",大专以上 | 1年以上 | 全职 | 24.0-36.0万元,全栈研发工程师专家
重庆,"
阿里
",中专以上 | 1-3年 | 全职 | 8K-10K,阿里零售通城市拍档
防城港,"
阿里
",本科以上 | 5年以上 | 全职,阿里云事业部业务架构师
杭州,"
阿里
",本科以上 | 8年以上 | 全职,菜鸟参谋高P岗位
佛山,"
博智林机器人
",本科以上 | 3-5年 | 全职 | 15000-30000元,嵌入式软件工程师
佛山,"
博智林机器人
",本科以上 | 3-5年 | 全职 | 10000-20000元,机械工程师
佛山,"
博智林机器人
",本科以上 | 3-5年 | 全职 | 20000-40000元,伺服控制组算法工程师
佛山,"
博智林机器人
",本科以上 | 应届毕业生 | 全职 | 15000-25000元,数据采集工程师
广州,"
博智林机器人
",硕士以上 | 3-5年 | 全职 | 18000-36000元,机器视觉算法工程师
佛山,"
博智林机器人
",本科以上 | 3-5年 | 全职 | 15000-30000元,AGV导航工程师
佛山,"
博智林机器人
",本科以上 | 3-5年 | 全职 | 15000-30000元,SLAM算法工程师
佛山,"
博智林机器人
",本科以上 | 5-10年 | 全职 | 25000-50000元,系统架构师
佛山,"
博智林机器人
",本科以上 | 3-5年 | 全职 | 20000-40000元,机器视觉工程师
广州,"
博智林机器人
",本科以上 | 3-5年 | 全职 | 20000-40000元,图像处理工程师
佛山,"
博智林机器人
",本科以上 | 5-10年 | 全职 | 20000-40000元,机器视觉
佛山,"
博智林机器人
",本科以上 | 3-5年 | 全职 | 20000-40000元,算法工程师
东莞,"
博智林机器人
",硕士以上 | 3-5年 | 全职 | 20000-40000元,机器视觉
佛山,"
博智林机器人
",本科以上 | 3-5年 | 全职 | 12000-24000元,前端开发
佛山,"
博智林机器人
",本科以上 | 3-5年 | 全职 | 12000-24000元,电控工程师
上海,"
B站，哔哩哔哩
",本科以上 | 1年以上 | 全职 | 12.0-18.0万元,UI设计
上海,"
B站，哔哩哔哩
",本科以上 | 3-5年 | 全职 | 12000-18000元,执行制片人
上海,"
B站，哔哩哔哩
",本科以上 | 3年以上 | 全职 | 12.0-24.0万元,华东直客销售
上海,"
B站，哔哩哔哩
",5-10年 | 全职 | 25000-40000元,游戏制作人
上海,"
B站，哔哩哔哩
",本科以上 | 3-5年 | 全职 | 20000-40000元,版权内容产品
上海,"
B站，哔哩哔哩
",本科以上 | 3年以上 | 全职 | 18.0-24.0万元,游戏市场经理
上海,"
B站，哔哩哔哩
",本科以上 | 全职 | 7.2-10.8万元,电商运营
上海,"
B站，哔哩哔哩
",本科以上 | 全职 | 12.0-24.0万元,系统运维工程师
上海,"
B站，哔哩哔哩
",4年以上 | 全职,资深内容运营编辑
上海,"
B站，哔哩哔哩
",大专以上 | 2年经验 | 全职 | 6-8千/月,广告销售助理
上海,"
B站，哔哩哔哩
",全职 | 0.5-1万/月,KOL商务运营
上海,"
B站，哔哩哔哩
",本科以上 | 2年经验 | 全职 | 0.8-1.5万/月,商务
上海,"
B站，哔哩哔哩
",本科以上 | 3年以上 | 全职,高级商务经理
上海,"
B站，哔哩哔哩
",本科以上 | 5年以上 | 全职,商业化总监
上海,"
B站，哔哩哔哩
",1-3年 | 全职 | 8000-15000元,对日商务
惠州,"
伯恩光学
",全职 | 4.5-6千/月,厨师
惠州,"
伯恩光学
",高中以上 | 2年 | 全职 | 4.5-6千/月,电梯师傅
惠州,"
伯恩光学
",大专以上 | 1-3年 | 全职 | 7K-9K,体系工程师
惠州,"
伯恩光学
",大专以上 | 3-4年经验 | 全职 | 6-8千/月,CQE主管 工程师
惠州,"
伯恩光学
",中专以上 | 全职 | 7K-9K,测量工程师
