win,lose,probability
Cleveland Cavaliers,New York Knicks,0.8164629519104138
San Antonio Spurs,Golden State Warriors,0.5216413377104911
Portland Trail Blazers,Utah Jazz,0.5164104863114605
Boston Celtics,Brooklyn Nets,0.8776967746822215
Indiana Pacers,Dallas Mavericks,0.5415543061325958
Houston Rockets,Los Angeles Lakers,0.8850437567693082
Memphis Grizzlies,Minnesota Timberwolves,0.681746264084474
Charlotte Hornets,Milwaukee Bucks,0.7403523398014202
Denver Nuggets,New Orleans Pelicans,0.5167430790538455
Miami Heat,Orlando Magic,0.7088026611000164
Oklahoma City Thunder,Philadelphia 76ers,0.9731148386548522
Sacramento Kings,Phoenix Suns,0.685727471608385
Toronto Raptors,Detroit Pistons,0.6482505681334575
Atlanta Hawks,Washington Wizards,0.6227061676223614
Boston Celtics,Chicago Bulls,0.6485363573982249
Los Angeles Clippers,Portland Trail Blazers,0.6552018158387878
San Antonio Spurs,Sacramento Kings,0.9000649278493832
Indiana Pacers,Brooklyn Nets,0.8414453560574969
Houston Rockets,Dallas Mavericks,0.5459786713568421
Detroit Pistons,Orlando Magic,0.6258915393693085
Charlotte Hornets,Miami Heat,0.5351526186420742
Golden State Warriors,New Orleans Pelicans,0.9386692117071853
Oklahoma City Thunder,Phoenix Suns,0.9071432221280442
Cleveland Cavaliers,Toronto Raptors,0.6098296435862063
Utah Jazz,Los Angeles Lakers,0.831272759614812
Indiana Pacers,Chicago Bulls,0.5797664593438857
Boston Celtics,Charlotte Hornets,0.5308538186298303
Cleveland Cavaliers,Orlando Magic,0.7987631564772222
Portland Trail Blazers,Denver Nuggets,0.6784081830887462
Milwaukee Bucks,Brooklyn Nets,0.7088913889623121
Memphis Grizzlies,New York Knicks,0.6413617508089131
Atlanta Hawks,Philadelphia 76ers,0.9514229976478317
Sacramento Kings,Minnesota Timberwolves,0.6096178961650364
San Antonio Spurs,New Orleans Pelicans,0.9030857525912704
Detroit Pistons,Milwaukee Bucks,0.7098448311124879
Dallas Mavericks,Houston Rockets,0.5347533940062293
Los Angeles Clippers,Utah Jazz,0.6241273410634973
Washington Wizards,Memphis Grizzlies,0.5244062361736388
San Antonio Spurs,Miami Heat,0.8054648936640678
Oklahoma City Thunder,Los Angeles Lakers,0.9379957901323086
Golden State Warriors,Phoenix Suns,0.9648353764562226
Atlanta Hawks,Sacramento Kings,0.7308687312783564
Chicago Bulls,Brooklyn Nets,0.830289163512756
Los Angeles Clippers,Phoenix Suns,0.8685489166184053
Toronto Raptors,Denver Nuggets,0.8079444705404809
Cleveland Cavaliers,Houston Rockets,0.7235406492145939
Detroit Pistons,New York Knicks,0.6521752142911623
Indiana Pacers,Los Angeles Lakers,0.875084538501678
Miami Heat,Sacramento Kings,0.7029360648376825
Memphis Grizzlies,Minnesota Timberwolves,0.6061367879105002
New Orleans Pelicans,Milwaukee Bucks,0.5156940134172785
Orlando Magic,Philadelphia 76ers,0.8872821614397564
Golden State Warriors,Portland Trail Blazers,0.8607384922658008
San Antonio Spurs,Utah Jazz,0.7934007090893352
Atlanta Hawks,Los Angeles Lakers,0.8977826346581913
Boston Celtics,Chicago Bulls,0.5872537472082195
Detroit Pistons,Brooklyn Nets,0.8321599663535078
Charlotte Hornets,Philadelphia 76ers,0.9333116021188184
Oklahoma City Thunder,Los Angeles Clippers,0.6212064986941442
Memphis Grizzlies,New Orleans Pelicans,0.655234972054382
Houston Rockets,New York Knicks,0.6910681043661793
Portland Trail Blazers,Phoenix Suns,0.8355446395789727
Dallas Mavericks,Utah Jazz,0.5462194893796235
Toronto Raptors,Washington Wizards,0.7273198294846996
Cleveland Cavaliers,Boston Celtics,0.6093619654329137
Golden State Warriors,Oklahoma City Thunder,0.6339349440450777
Indiana Pacers,Milwaukee Bucks,0.6920054295087452
Minnesota Timberwolves,Denver Nuggets,0.5029384825376504
Orlando Magic,Sacramento Kings,0.5412401295700663
Charlotte Hornets,Brooklyn Nets,0.8707167271356628
Chicago Bulls,New York Knicks,0.6071438264048822
Portland Trail Blazers,Dallas Mavericks,0.6206841363381347
Golden State Warriors,Los Angeles Lakers,0.9826314863097256
Los Angeles Clippers,Memphis Grizzlies,0.7215096726805983
New Orleans Pelicans,Phoenix Suns,0.6318139734375782
Toronto Raptors,Miami Heat,0.562745004908078
San Antonio Spurs,Utah Jazz,0.8654417400433186
Atlanta Hawks,Washington Wizards,0.6223859253623879
Atlanta Hawks,Houston Rockets,0.6134475173032962
Detroit Pistons,Denver Nuggets,0.6824028693524011
Indiana Pacers,Chicago Bulls,0.5225753666939771
Sacramento Kings,Milwaukee Bucks,0.5114078343606441
Oklahoma City Thunder,Minnesota Timberwolves,0.8703749918879187
Washington Wizards,Orlando Magic,0.5824035378896271
Cleveland Cavaliers,Philadelphia 76ers,0.9757874845836523
San Antonio Spurs,Los Angeles Clippers,0.6542780817489545
Boston Celtics,Denver Nuggets,0.7621746637977695
Dallas Mavericks,Milwaukee Bucks,0.6484088590484672
Phoenix Suns,Los Angeles Lakers,0.6829554433386793
Portland Trail Blazers,Memphis Grizzlies,0.6094362927375034
Utah Jazz,New York Knicks,0.7135123691526607
Toronto Raptors,Sacramento Kings,0.787047953046189
Chicago Bulls,Orlando Magic,0.5796505611015004
Charlotte Hornets,Indiana Pacers,0.5417090372147232
Golden State Warriors,New Orleans Pelicans,0.9196318387311219
Los Angeles Clippers,Detroit Pistons,0.6120255387442499
Oklahoma City Thunder,Miami Heat,0.619597292154255
Utah Jazz,Philadelphia 76ers,0.9300300631037229
Houston Rockets,Washington Wizards,0.5011608638132378
Minnesota Timberwolves,Brooklyn Nets,0.6326546709444255
Cleveland Cavaliers,Atlanta Hawks,0.614684996210214
Dallas Mavericks,Los Angeles Lakers,0.8918875309520621
Memphis Grizzlies,Denver Nuggets,0.6294290372243783
Portland Trail Blazers,Phoenix Suns,0.8094978502502232
Sacramento Kings,New Orleans Pelicans,0.5807927574245897
Atlanta Hawks,Chicago Bulls,0.5784725056052004
Charlotte Hornets,Utah Jazz,0.5711397223074118
Golden State Warriors,Dallas Mavericks,0.8305057795484276
Indiana Pacers,Philadelphia 76ers,0.9227636191412589
Los Angeles Clippers,Portland Trail Blazers,0.576024269644029
New York Knicks,Brooklyn Nets,0.6609958426905028
Oklahoma City Thunder,Toronto Raptors,0.507279625921318
Orlando Magic,Minnesota Timberwolves,0.6287511947974461
Detroit Pistons,Phoenix Suns,0.8139803166488031
San Antonio Spurs,Houston Rockets,0.8104495933858434
Boston Celtics,Washington Wizards,0.6276399315265629
Golden State Warriors,Denver Nuggets,0.9193047805305777
Miami Heat,Chicago Bulls,0.5445788003365937
Milwaukee Bucks,New Orleans Pelicans,0.5488957333011388
Sacramento Kings,Los Angeles Lakers,0.7786766480347953
Boston Celtics,New York Knicks,0.7366089052862022
Toronto Raptors,Charlotte Hornets,0.641650199445147
Oklahoma City Thunder,Los Angeles Clippers,0.547483325228006
Utah Jazz,Orlando Magic,0.6175727202984839
