win,lose,probability
Cleveland Cavaliers,New York Knicks,0.8729820669632254
Golden State Warriors,San Antonio Spurs,0.5972712901707703
Portland Trail Blazers,Utah Jazz,0.5336753270148936
Boston Celtics,Brooklyn Nets,0.8965438168633543
Indiana Pacers,Dallas Mavericks,0.5654497299560581
Houston Rockets,Los Angeles Lakers,0.8849889779741346
Memphis Grizzlies,Minnesota Timberwolves,0.6447526311842031
Charlotte Hornets,Milwaukee Bucks,0.7857431302319206
Denver Nuggets,New Orleans Pelicans,0.5813912123302594
Miami Heat,Orlando Magic,0.7023617240480903
Oklahoma City Thunder,Philadelphia 76ers,0.9766670704426872
Sacramento Kings,Phoenix Suns,0.7147201976827273
Toronto Raptors,Detroit Pistons,0.6846715425523786
Atlanta Hawks,Washington Wizards,0.6089516711349738
Boston Celtics,Chicago Bulls,0.576904208904212
Los Angeles Clippers,Portland Trail Blazers,0.6406171712936262
San Antonio Spurs,Sacramento Kings,0.8729159654116859
Indiana Pacers,Brooklyn Nets,0.8741535881747844
Houston Rockets,Dallas Mavericks,0.5024697408773254
Detroit Pistons,Orlando Magic,0.6225139760239548
Miami Heat,Charlotte Hornets,0.508722905249707
Golden State Warriors,New Orleans Pelicans,0.9239252640829803
Oklahoma City Thunder,Phoenix Suns,0.9122913920144835
Cleveland Cavaliers,Toronto Raptors,0.5518881688781153
Utah Jazz,Los Angeles Lakers,0.8856843825233728
Indiana Pacers,Chicago Bulls,0.5001849284707067
Boston Celtics,Charlotte Hornets,0.5251807532604549
Cleveland Cavaliers,Orlando Magic,0.8331682299493723
Portland Trail Blazers,Denver Nuggets,0.7703495937405105
Milwaukee Bucks,Brooklyn Nets,0.6842610292275707
Memphis Grizzlies,New York Knicks,0.6125449732052433
Atlanta Hawks,Philadelphia 76ers,0.963337382110841
Sacramento Kings,Minnesota Timberwolves,0.5684036136814796
San Antonio Spurs,New Orleans Pelicans,0.9071969476659325
Detroit Pistons,Milwaukee Bucks,0.7015880825747466
Dallas Mavericks,Houston Rockets,0.5040277356727864
Los Angeles Clippers,Utah Jazz,0.6850338550943106
Washington Wizards,Memphis Grizzlies,0.5646987601800049
San Antonio Spurs,Miami Heat,0.7033365079550532
Oklahoma City Thunder,Los Angeles Lakers,0.9550481388949416
