歌曲名,专辑,时长,播放链接,歌词
别再靠近我了,别再靠近我了,273,https://y.qq.com/n/yqq/song/000CLThZ1MBRc1.html,"别再靠近我了
陈雪凝
别再靠近我了
别再靠近我了陈雪凝
词：陈雪凝
曲：陈雪凝
编曲：周成
混音：李智伟
和声：李美灵芝
混音室：北京新事文化录音室
发行：坚诚文化
你也不必再为我担心
我告诉自己这一次就会看清
看清你不堪一击的靠近
短暂的孑然无依
失去过去的残余有什么可惜
曾经自己也傻得可以
以为习惯了坚强就能感动你
感动你旁若无人的挑剔
内心深处的感性
藏好悸动的心别让故事待续
别再靠近我了
我就想你最后陪我
等这场雨停
贪恋你的病药石难医
我的心无法痊愈
成为了你最佳替代品
甚至想要改变别人口中的你
改变你喜新厌旧的本性
冠冕堂皇的道理
深情演技为博一丝廉价同情
别再靠近我了
我就想你最后陪我
等这场雨停
贪恋你的病药石难医
我的心无法痊愈
别再靠近我了
不想自己一次又一次
被你放弃
是该清醒这场梦境
谢谢你参与
那是痛我清晰的明了
原来我只是玩笑
我撑到最后一秒
越靠近越不能控制想你的好
我知道
别再靠近我了
（那是痛）
不想自己一次又一次
（我清晰的明了
原来我只是玩笑）
被你放弃
（我撑到最后一秒）
是该清醒这场梦境
（越靠近越不能控制想你的好）
谢谢你参与
（我知道）
那是痛"
你的酒馆对我打了烊,你的酒馆对我打了烊,251,https://y.qq.com/n/yqq/song/003xl9d83fVzUJ.html,"你的酒馆对我打了烊
陈雪凝
你的酒馆对我打了烊
你的酒馆对我打了烊陈雪凝
词：陈雪凝
曲：陈雪凝
和声：李美灵芝
混音：鍾澤鑫
发行：SEVEN叁七
你出现就沉醉了时间
没有酒我像个荒诞的可怜人
可是你却不曾施舍二两
你的酒馆对我打了烊
子弹在我心头上了膛
请告诉我今后怎么扛
遍体鳞伤还笑着原谅
你的酒馆对我打了烊
承诺是小孩子说的谎
请告诉我今后怎么扛
你无关痛痒
我敬你给我感动欢喜
为了你杀光了世间的烂俗人
可是你却不曾施舍二两
你的酒馆对我打了烊
子弹在我心头上了膛
请告诉我今后怎么扛
遍体鳞伤还笑着原谅
你的酒馆对我打了烊
承诺是小孩子说的谎
请告诉我今后怎么扛
你无关痛痒
转啊转啊转啊转啊转
没能转进你的心上
看啊看啊看啊看啊看
谁能再把自己点亮
你的酒馆对我打了烊
子弹在我心头上了膛
请告诉我今后怎么扛
遍体鳞伤还笑着原谅
你的酒馆对我打了烊
承诺是小孩子说的谎
请告诉我今后怎么扛
你无关痛痒
请告诉我今后怎么扛
你无关痛痒"
绿色,绿色,269,https://y.qq.com/n/yqq/song/0021rBlZ1gQiLy.html,"绿色
陈雪凝
绿色
绿色陈雪凝
词：陈雪凝
曲：陈雪凝
编曲：D
和声：李美灵芝
混音：一曲不空
发行：SEVEN叁七
若不是你突然闯进我生活
我怎会把死守的寂寞放任了
说不痛苦那是假的
毕竟我的心也是肉做的
你离开时我心里的彩虹
就变成灰色
说不心酸那是假的
如果我真的没那么爱过
爱着一个没有灵魂的人
世界都是黑色
若不是你突然闯进我生活
我怎会把死守的寂寞放任了
爱我的话你都说
爱我的事你不做
我却把甜言蜜语
当做你爱我的躯壳
你的悲伤难过我不参破
我也会把曾经的且过当施舍
不去计较你太多
从此你在我心里
只剩绿色
说很快活那是假的
你的名字依然那么深刻
每个字都刺穿我的心脏
那鲜明的痛是红色
若不是你突然闯进我生活
我怎会把死守的寂寞放任了
爱我的话你都说
爱我的事你不做
我却把甜言蜜语
当做你爱我的躯壳
你的悲伤难过我不参破
我也会把曾经的且过当施舍
不去计较你太多
从此你在我心里
只剩绿色
呼
若不是你突然闯进我生活
我怎会把死守的寂寞放任了
爱我的话你都说
爱我的事你不做
我却把甜言蜜语
当做你爱我的躯壳
若不是你突然闯进我生活
我怎会把死守的寂寞放任了
爱我的话你都说
爱我的事你不做
我却把甜言蜜语
当做你爱我的躯壳
你的悲伤难过我不参破
我也会把曾经的且过当施舍
若不是你突然闯进我生活
我怎会把死守的寂寞放任了
爱我的话你都说
爱我的事你不做
我却把甜言蜜语
当做你爱我的躯壳"
假装,拾陆,264,https://y.qq.com/n/yqq/song/0049T4N609ym6K.html,"假装
陈雪凝
拾陆
假装陈雪凝
词：陈雪凝
曲：陈雪凝
编曲：幻曦
红了樱桃绿了芭蕉
你走你的独木桥我唱我调
谁的孤独它像似把刀
杀了我的外婆桥
别再犯傻再剪短发
你送的鞋子合脚它又怎会掉
谁的无情它像似毒药
喝下不煎熬
我想留在你的身边
深情款款多么可怜
你无辜的像演员
边说边声泪俱下表现
故事开始总是很甜
岁月流逝人心转变
这是最后一支烟
你信誓旦旦说着谎言
红了樱桃绿了芭蕉
你走你的独木桥我唱我调
谁的孤独它像似把刀
杀了我的外婆桥
别再犯傻再剪短发
你送的鞋子合脚它又怎会掉
谁的无情它像似毒药
喝下不煎熬
在我身后开了一枪
鲜血淋漓渲染了墙
用最后一丝余光
我已释然你何必假装
红了樱桃绿了芭蕉
你走你的独木桥我唱我调
谁的孤独它像似把刀
杀了我的外婆桥
别再犯傻再剪短发
你送的鞋子合脚它又怎会掉
谁的无情它像似毒药
喝下不煎熬
当初炽热的心已凉
一朝一夕笑我痴狂
所有苦痛我一人扛假装坚强
你难过的太假装
你凭什么念念不忘
人一定要学会成长
别再犯傻再剪短发
你送的鞋子合脚它又怎会掉
谁的无情它像似毒药
喝下不煎熬"
灰姑娘,灰姑娘,293,https://y.qq.com/n/yqq/song/003oaKCi1TUwVK.html,"灰姑娘
陈雪凝
灰姑娘
灰姑娘陈雪凝
词：陈雪凝
曲：陈雪凝
编曲：D
混音：一曲不空
和声：任菲菲
发行公司：坚诚文化
快要忘了怎么不受伤
这世界满是你的光芒
你拿着我爱你的心脏
妄想着骑士对你投降
在你设计的城堡逃荒
逃不掉也不能被爱上太荒唐
这一路荆棘跌跌撞撞
终于迷失了方向我怎能这样
独自收场
我也应该是被疼爱的灰姑娘
可在你的城堡我只感动了善良
是不是王子总看不到灰姑娘的光
我也渐渐被你遗忘
我也应该是被疼爱的灰姑娘
可你不愿用一生陪我赌一个过往
也会有一个人与我互诉衷肠
丢掉过往的伤
在你设计的城堡逃荒
逃不掉也不能被爱上太荒唐
这一路荆棘跌跌撞撞
终于迷失了方向我怎能这样
独自收场
我也应该是被疼爱的灰姑娘
可在你的城堡我只感动了善良
是不是王子总看不到灰姑娘的光
我也渐渐被你遗忘
我也应该是被疼爱的灰姑娘
可你不愿用一生陪我赌一个过往
也会有一个人与我互诉衷肠
丢掉过往的伤
破碎又怎样受伤又怎样
我不愿委屈的为你们着想
你光芒万丈不走近一丈
有天我的骑士会懂我善良
我也应该是被疼爱的灰姑娘
可你不愿用一生陪我赌一个过往
也会有一个人与我互诉衷肠
丢掉过往的伤
也会有一个人与我互诉衷肠
会有吗"
没有人心疼我,没有人心疼我,269,https://y.qq.com/n/yqq/song/001RHWbh22nFd5.html,"没有人心疼我
陈雪凝
没有人心疼我
没有人心疼我陈雪凝
词：陈雪凝
曲：陈雪凝
编曲：朱建伟
当我笑的时候
有没有人会回应呢
当我哭的时候
有没有人会心疼呢
我尝尽人间的苦
是否有人给我快乐
如果这世界失去我
它会不会不舍得呢
再没听过谁提起我
她们是不是失忆了
再没听过你提起我
你胸膛撑起的不是我
夜空星星闪过
孤独陪我醒着
所有失眠的夜
是你给的落魄
没有人会心疼我
我在一个人的角落
没有人会看破
我眼神里最后一丝脆弱
没有人会心疼我
假话说多便成真了
没有人会陪我
陪我一起快乐
再没听过谁提起我
她们是不是失忆了
再没听过你提起我
你胸膛撑起的不是我
夜空星星闪过
孤独陪我醒着
所有失眠的夜
是你给的落魄
没有人会心疼我
我在一个人的角落
没有人会看破
我眼神里最后一丝脆弱
没有人会心疼我
假话说多便成真了
没有人会陪我
陪我一起快乐
身边人群熙攘
可我内心却满是荒凉
我怕思念太强会让寂寞流浪
走过长街小巷
时间漫长谁在你身旁
你走的方向是没有我的地方
没有人会心疼我
我在一个人的角落
没有人会看破
我眼神里最后一丝脆弱
没有人会心疼我
假话说多便成真了
没有人会陪我
陪我一起快乐"
那个傻瓜,那个傻瓜,267,https://y.qq.com/n/yqq/song/001V2LNh1cm3we.html,"那个傻瓜
陈雪凝
那个傻瓜
那个傻瓜陈雪凝
词陈雪凝
曲：陈雪凝
混音：陈壹千
发行：SEVEN叁七
那个晚霞树的喑哑
在陪我说话
风中的他微微笑着
羞涩的尴尬
每个瞬间都在期待
你的短讯呀
那一天会来吗
新的一天为你扎起
漂亮的头发
你的眼神可否为我
片刻的停下
没有把握不去捅破
陪着你长大
真心而倔强的等待啊
那个傻瓜
傻傻的等着你的回答
爱上你即使是场空欢喜
也不曾害怕
那个傻瓜
看着你竟然说不出话
她不愿让你看到眼泪落下
新的一天为你扎起
漂亮的头发
你的眼神可否为我
片刻的停下
没有把握不去捅破
陪着你长大
真心而倔强的等待吧
那个傻瓜
傻傻的等着你的回答
她的心跳随着
你的靠近慢慢发芽
那个傻瓜
看着你竟然说不出话
她不愿让你看到眼泪落下
我开始期待有天
能收到你的短讯
想和你看每个
我邂逅的美丽风景
傻傻的看着你
爱着你的心全是透明
如果有天你也能
将我的心事倾听
我开始期待有天
能收到你的短讯
想和你看每个
我邂逅的美丽风景
傻傻的看着你
爱着你的心全是透明
如果有天你也能
将我的心事倾听
那个傻瓜
傻傻的等着你的回答
她的心跳随着
你的靠近慢慢发芽
那个傻瓜
看着你竟然说不出话
她不愿让你看到眼泪落下
好吧我承认我就是那个傻瓜
我不愿让你看到
我的眼泪落下"
愚昧,愚昧,253,https://y.qq.com/n/yqq/song/000iLEz83jy0WW.html,"愚昧
陈雪凝
愚昧
愚昧陈雪凝
词：一只然
曲：陈雪凝
编曲：周成
和声：陈雪凝
习惯了觉得自己不配
习惯了做你身后的谁
习惯了你的暧昧
轻易就枯萎
拥抱遗憾
在我眼前落灰
习惯了觉得自己卑微
习惯了总给别人安慰
却从来不问自己
是不是很累
我就这样
尽管这样愚昧
在每个夜晚我抚摸我的眼泪
为什么这世界对我有那么虚伪
看风月在眼前破碎
看窗外景色多美
和我有
多不登对
习惯了觉得自己卑微
习惯了总给别人安慰
却从来不问自己
是不是很累
我就这样
尽管这样愚昧
在每个夜晚我抚摸我的眼泪
为什么这世界对我有那么虚伪
看风月在眼前破碎
看窗外景色多美
和我有
多不登对
我往什么方向追
你往反向飞
我也跌破了堡垒
怎样都不对
装着无用的回忆
无常的是非
谢谢你让我懂了
浪费
怪自己掌控不住自己的双腿
走着走着就陷入你的气味
我活该狼狈
自找的崩溃
别救我
让我
自生自灭一回"
避脸,拾陆,353,https://y.qq.com/n/yqq/song/003tOicR29HEIu.html,"避脸
陈雪凝
拾陆
避脸陈雪凝
词：陈雪凝
曲：陈雪凝
编曲：周成
在心跳微妙蒙受你侧脸
候鸟盼风我期盼与你擦肩
梦里望着你那样熟悉
卑贱的小丑演绎空空欢喜
面具伪装背后累坏了自己
靠近偏胆怯你的呼吸
那被丢弃在角落里的你
忘穿眼眸终究没人记起
你的脸怎能俘获一颗心
别为一颗心欺骗自己
不过是席势凌人的游戏
动了情却输到一败涂地
你的脸怎能掳掠他的心
希望落空的这般无疑
到最后我为难我自己
荒唐开始终究潦草结局
破皮囊害得没人懂我心
他们世俗的那样清晰
那被丢弃在角落里的你
忘穿眼眸终究没人记起
你的脸怎能俘获一颗心
别为一颗心欺骗自己
不过是席势凌人的游戏
动了情却输到一败涂地
你的脸怎能着迷他的心
童话终究逃不过现实
到最后我丢了我自己
情深也抵不过脸的残缺
忍痛割舍没忘却你侧脸
也许你从未看过我的脸
从未看过我的脸
若某天我褪去青涩一面
我便再不会出现你身边
不会再让你看清我的脸
我的脸
不会再让你看清我的脸
我的脸"
你的前女友 + 小了白了兔 + Shape Of You,,40,https://y.qq.com/n/yqq/song/001pquFD2lU98s.html,"你的前女友小了白了兔SOY
陈雪凝
你的前女友小了白了兔SOY陈雪凝
我是你的前女友
曾经也拯救过地球
身高刚好
优点除了酷什么都没有
小了白了兔白了又了白
两了只了耳了朵了竖了起了来
爱了吃了萝了卜了和了青了菜
蹦了蹦了跳了跳了真了可了爱
GI
Y
C
I
S
G
C
C"
