歌曲名,专辑,时长,播放链接
别再靠近我了,别再靠近我了,273,https://y.qq.com/n/yqq/song/000CLThZ1MBRc1.html
你的酒馆对我打了烊,你的酒馆对我打了烊,251,https://y.qq.com/n/yqq/song/003xl9d83fVzUJ.html
绿色,绿色,269,https://y.qq.com/n/yqq/song/0021rBlZ1gQiLy.html
假装,拾陆,264,https://y.qq.com/n/yqq/song/0049T4N609ym6K.html
灰姑娘,灰姑娘,293,https://y.qq.com/n/yqq/song/003oaKCi1TUwVK.html
没有人心疼我,没有人心疼我,269,https://y.qq.com/n/yqq/song/001RHWbh22nFd5.html
那个傻瓜,那个傻瓜,267,https://y.qq.com/n/yqq/song/001V2LNh1cm3we.html
愚昧,愚昧,253,https://y.qq.com/n/yqq/song/000iLEz83jy0WW.html
避脸,拾陆,353,https://y.qq.com/n/yqq/song/003tOicR29HEIu.html
你的前女友 + 小了白了兔 + Shape Of You,,40,https://y.qq.com/n/yqq/song/001pquFD2lU98s.html
没那么喜欢,没那么喜欢,245,https://y.qq.com/n/yqq/song/001bxJQH4fgT53.html
淋雨一直走+说爱你+可不可以给我你的微信 (Live),,46,https://y.qq.com/n/yqq/song/002LCQrf3zw9ye.html
你好前任,你好前任,240,https://y.qq.com/n/yqq/song/0010ZFzB469WVa.html
陈雪凝,陈雪凝,240,https://y.qq.com/n/yqq/song/0009fHyV226Jiy.html
去年夏天,,23,https://y.qq.com/n/yqq/song/001EZwl64dezK3.html
余温,拾陆,242,https://y.qq.com/n/yqq/song/001Fz9OS3UlD34.html
我唯一青春里的路人,拾陆,241,https://y.qq.com/n/yqq/song/004HSrld1K8b32.html
白山茶（cover：陈雪凝） (节目),娄振宇翻唱节目,254,https://y.qq.com/n/yqq/song/00422Kbl2lWB14.html
清守,清守,222,https://y.qq.com/n/yqq/song/004ezzid1izfnY.html
不想做花粥的陈雪凝不是隔壁老樊,不想做花粥的陈雪凝不是隔壁老樊,192,https://y.qq.com/n/yqq/song/002wWCeG2z5X7k.html
一口,拾陆,292,https://y.qq.com/n/yqq/song/0030zv781R9rF4.html
Journey to the peace (Demo),平静之旅,217,https://y.qq.com/n/yqq/song/000YTeqi31UACX.html
一个人想着一个人,,18,https://y.qq.com/n/yqq/song/004AWscd1IhpzN.html
回忆见,回忆见,275,https://y.qq.com/n/yqq/song/003eY8me0mkumn.html
你一定要幸福,,43,https://y.qq.com/n/yqq/song/002aDI1T4c3eP9.html
我叫奶瓶,我叫奶瓶,258,https://y.qq.com/n/yqq/song/003uQmnk1UDnvF.html
等下一个他（live）,,59,https://y.qq.com/n/yqq/song/004bNlHW4RKGvP.html
一点点 + 小星星（Live）,,33,https://y.qq.com/n/yqq/song/003EjqJl2ocyr9.html
地铁等待,,20,https://y.qq.com/n/yqq/song/001wRNsg1OtsyW.html
没忘,没忘,277,https://y.qq.com/n/yqq/song/003Y6zEa2R7YO8.html
